epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.9412,1.32698,1.60893,0.00115,0.69944,0.62802,0.62032,0.40503,1.03795,0.69889,0.00131,0.000413943,0.000413943,0.000413943
2,94.3241,1.25574,0.67581,0.00107,0.83765,0.70866,0.75971,0.50957,1.00791,0.49571,0.00126,0.000822387,0.000822387,0.000822387
3,142.13,1.32259,0.61002,0.00109,0.89195,0.73347,0.78917,0.51015,1.0238,0.46734,0.00131,0.00122258,0.00122258,0.00122258
4,189.793,1.291,0.55655,0.00107,0.89135,0.75089,0.82869,0.56479,1.00226,0.42024,0.00127,0.00121287,0.00121287,0.00121287
5,237.364,1.30451,0.58193,0.00108,0.8234,0.69509,0.77055,0.51363,1.07119,0.5033,0.00142,0.0012005,0.0012005,0.0012005
6,283.475,1.26507,0.51372,0.00107,0.86588,0.77694,0.83653,0.53378,1.08318,0.39432,0.00133,0.00118812,0.00118812,0.00118812
7,330.981,1.36308,0.51812,0.00116,0.88965,0.77868,0.83977,0.54222,1.0637,0.40093,0.00134,0.00117575,0.00117575,0.00117575
8,378.362,1.23167,0.4629,0.00103,0.86406,0.78926,0.81146,0.53857,1.0334,0.37638,0.00132,0.00116337,0.00116337,0.00116337
9,425.548,1.21034,0.44294,0.00099,0.83973,0.79781,0.82881,0.55662,0.96492,0.3745,0.00121,0.001151,0.001151,0.001151
10,472.898,1.20206,0.43045,0.00099,0.87259,0.8041,0.83537,0.54511,1.00093,0.37318,0.00123,0.00113863,0.00113863,0.00113863
11,520.258,1.19213,0.41775,0.00095,0.90536,0.76877,0.82664,0.55546,0.99924,0.36794,0.0012,0.00112625,0.00112625,0.00112625
12,567.988,1.2063,0.42575,0.00099,0.88282,0.76912,0.83013,0.57349,0.96456,0.34627,0.00121,0.00111388,0.00111388,0.00111388
13,617.194,1.18297,0.41547,0.00098,0.94636,0.74158,0.83559,0.54435,1.04372,0.38523,0.00138,0.0011015,0.0011015,0.0011015
14,665.235,1.10845,0.38761,0.0009,0.88011,0.76906,0.8398,0.57482,0.93527,0.3608,0.00118,0.00108913,0.00108913,0.00108913
15,712.708,1.1319,0.39119,0.00093,0.88099,0.8031,0.84871,0.57736,0.97316,0.37125,0.00125,0.00107675,0.00107675,0.00107675
